Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2022-2023,
1061,SCA HAEVY EQUIPMENT PVT. LTD,13,13
1062,SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED,89,89
1063,SCHEUERLE FAHRZEUG FABRIK(GMBH),29,29
1064,SCHWING STETTER INDIA PL,20,20
1065,SCOOTERS INDIA LTD,3,3
1066,SEALION AUTOMOBILE PVT LTD,37,37
1067,SEC RJMT ENGG.PVT.LTD.,4,4
1068,SEC-RJMT ENGINEERING PVT LTD,47,47
1069,"SEMBHI ARGO IND,SAMBALPUR",2,2
1070,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,52,52
1071,SENNEBOGEN EXCAVATOR 821E,1,1
1072,SETH INDUSTRIAL CORPORATION,568,568
1073,SF2 E VEHICLE PVT LTD,36,36
1074,SGLLINE MOTORS PVT LTD,68,68
1075,SHAH AGRO ENGG WORKS,1,1
1076,SHAKTI AUTO GREEN,479,479
1077,SHAKTI ENGINEERING WORK,27,27
1078,"SHAKTI EN WORKS HALADIAPADAR,BERHAMPUR,GANJAM",1,1
1079,SHAKTIMAN AGRO INDUSTRIES,56,56
1080,SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD,194,194
1081,SHALYA AUTO SALES PVT LTD,363,363
1082,SHARMA  AUTO MOBILES,1,1
1083,SHARMA-SHARMA ENGN WORKS,10,10
1084,SHEHALPREET ENGG WORKS,29,29
1085,"SHEKHAR ENGINEERING,JAJPUR",5,5
1086,SHIGAN EVOLTZ LTD,712,712
1087,SHINE METAL UDYOG PVT LTD (UNIT- II),20,20
1088,SHINME ELECTRICAL VEHICLE PVT LTD,38,38
1089,SHIVA GAYATRI ENGG WORKS,742,742
1090,"SHIV AGRO ,AGENCY",2,2
1091,SHIV AGRO INDUSTRIES,118,118
1092,SHIVAJI AGRO INDUSTRIES,17,17
1093,SHIVASHAKTHI ENG WORKS,227,227
1094,SHIVKRUPA TRAILOR,15,15
1095,SHIV OM INDIA,80,80
1096,SHIVRAJ TRAILOR,82,82
1097,SHIV SAI ENG WORKS,3,3
1098,SHIVSHAKTI STEEL INDUSTRIES LATUR,80,80
1099,SHOBHA ENG WORKS,9,9
1100,SHREE AMEE CONST EQUP,3,3
1101,SHREE BABA ENGINEERING WORKS,2,2
1102,SHREE BALAJI ENGINEERING WORK SHOP,8,8
1103,SHREE CARS PVT. LTD,1,1
1104,SHREE DURGA FABRICATION COMPANY,1,1
1105,SHREE KRISHNA AGRO INDUSTRIES,1,1
1106,SHREE MARUTI NANDAN BUSINESSS (P) LTD,246,246
1107,SHREE MOMAI TRAILER,1,1
1108,SHREE SAI AGRO ENGINEERING WORKS,69,69
1109,SHREE SHAKTI AGRO INDIA,1,1
1110,SHREYA ENGINEERS,5,5
1111,SHRI AVP ENGINEERING WORK,7,7
1112,SHRI BARSANA E-VEHICLES PVT LTD,"1,966","1,966"
1113,SHRI DATTA AGRO INDUSTRIES,3,3
1114,SHRI ENGINEERING WORKS,2,2
1115,SHRI GAJALAXMI ENGG WORKS,8,8
1116,SHRI GANESH ENGINERRING WORKS,51,51
1117,SHRIKANTH ENGINEERING WORKS,5,5
1118,SHRI KRISHNA INDUSTRIES,15,15
1119,SHRI LAXMI ENGINEERING WORKS,94,94
1120,SHRI MAHALAXMI AGRO IND,8,8
1121,SHRI NAMO ELECTRIC AUTOMOTIVE,354,354
1122,SHRI NANDI TRAILER WORKS,1,1
1123,SHRINIWAS AGRO INDUSTRIES,89,89
1124,SHRI RADHE ENGG,3,3
1125,SHRIRAJ ELECTRIC VEHICLES,"2,408","2,408"
1126,SHRI RAMA ENGINEERING,65,65
1127,SHRI RAM AGRO INDUSTRIES,4,4
1128,SHRI RAM AUTO TECH PVT LTD,6,6
1129,SHRI RAM TRAILOR,15,15
1130,SHRI SAI ENGG WORKS,32,32
1131,SHRI SAI SANTOSHI MATA AGRICULTURAL WORKS,4,4
1132,SHRI SHANKAR ENG WORKS,89,89
1133,SHRI SHIVAJI ENG WORKS,40,40
1134,SHRI SHIVSHANKAR ENTERPRISES,8,8
1135,SHRI SHIVSHIDHA AGRI IMPLIMENT,7,7
1136,SHRI SHRINIVASA ENG WORKS,42,42
1137,SHRI SHYAM ENGG WORKS,31,31
1138,SHRI SHYAM INDUSTRIES,8,8
1139,SHRI SWASTIK ENGG,63,63
1140,SHRI TIRUMALA ENGINEERING WORKS,48,48
1141,SHRI VADESHWAR TRAILORS,28,28
1142,SHRI VENKATARAMANA TRAILER WORK,13,13
1143,SHRI VENKATESHWARA ENGINEERING WORKS,36,36
1144,SHRI VENKATESHWAR AGRO INDUSTRIES,3,3
1145,SHRI VIJAY ENGINEERING WORKS,30,30
1146,SHRI VINAYAK INDUSTRIES,12,12
1147,SHRI VISHWAKARMA AUTOMOBILE,81,81
1148,SHUBHADA INDUSTRIES,1,1
1149,SHUBHLAXMI AGRO IND.,2,2
1150,"SIDDHAKALA ENGINEERING AND WELDING WORKS
",8,8
1151,SIDDHI ENGINEERING WORKS,33,33
1152,SIDDHIVINAYAK ENGINEERING,3,3
1153,SIDHI DURGA ENGINEERING,59,59
1154,SIGMACON EQUIPMENT LLP,2,2
1155,SINGHAL ENTERPRISES,55,55
1156,SINGH AUTOMOBILES,26,26
1157,SINGH ENGINEERING WORKS,3,3
1158,SIRF INDIA VEHICLES PVT LTD,5,5
1159,SITYOG ENGINEERING PVT LTD,3,3
1160,SIWACH STEEL PVT LTD,92,92
1161,SIX SENSES AUTOMOTIVE PVT LTD,7,7
1162,SKODA AUTO AS,1,1
1163,SKODA AUTO INDIA PVT LTD,599,599
1164,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,"86,828","86,828"
1165,SKS AUTOMOBILES (I) PVT LTD,7,7
1166,SKS TRADE INDIA PVT LTD,"7,240","7,240"
1167,S. K. TRAILER,6,6
1168,SKYRIDE AUTOMOTIVE,73,73
1169,SMART ELECTRO MOTORS,30,30
1170,SML ISUZU LTD,"9,212","9,212"
1171,SMV,202,202
1172,SN SOLAR ENERGY,34,34
1173,SOKUDO ELECTRIC INDIA PVT LTD,1,1
1174,SOLANKE ENGINEERING WORKS,23,23
1175,SONALIKA INTERNATIONAL TRACTORS LIMITED,77,77
1176,SONI E VEHICLE PVT LTD,123,123
1177,SONU MONU TRACTOR,1,1
1178,SPEED AUTO TECH,24,24
1179,SPEED CRAFTS LIMITED,1,1
1180,SPEEGO VEHICLES CO PVT LTD,"4,084","4,084"
1181,SPEEGO VEHICLES PVT. LTD,128,128
1182,"S P TRADING, KHURDA",47,47
1183,S R AGRICULTURE EQUIPMENTS CO (P) LTD,19,19
1184,SRD RENEWABLES,"1,509","1,509"
1185,"SRI AGENCY & FABRICATION,GOPINATH NAGAR,BERHAMPUR",32,32
1186,"SRIAGENCY & FABRICATOR,BHMPUR",1,1
1187,"SRI GANESH ENG WORKS, HALADIAPADAR, GANJAM",5,5
1188,SRI LAKSHMI ENGINEERING INDUSTRIES,5,5
1189,SRI MANJU INDUSTRIES,1,1
1190,SRI MANJU TRAILERS,1,1
1191,SRI NANDISHWARA ENGINEERING WORKS,5,5
1192,SRI SAI AGRICULTURAL EQUIPMENT,96,96
1193,"SRI.TIRUMALA AGRO SALES, CHARBAHAL",1,1
1194,SRIVARU MOTORS PVT LTD,52,52
1195,SRI VELMURUGAN ENGINEERING WORKS,3,3
1196,S S AGRO INDUSTRIES,3,3
1197,S.S. AGRO TECH,12,12
1198,SSB INDISTRIES,"1,917","1,917"
1199,SSEV ENTERPRISES PRIVATE LIMITED,531,531
1200,S S GLOBAL,9,9
1201,SSV TECHNOLOGIES,2,2
1202,STANDARD AGRICULTURE WORKS(R),12,12
1203,STANDARD COMBINES PVT LTD,5,5
1204,STANDARD CORPORATION INDIA LTD,141,141
1205,STAR AGRO INDUSTRIES,7,7
1206,STAR BULL E MOTORS,"2,468","2,468"
1207,STAR IGLOBAL AUTOMOTIVE PVT LTD,308,308
1208,STAR WELDING WORKS,19,19
1209,SUBHADRA ENGINEERING NUAPADA,54,54
1210,SUBHLAXMI AGRO,8,8
1211,SUBRAMANYESWARA INDUSTRIES,44,44
1212,SUDHA ENGINEERING WORKS,15,15
1213,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,31,31
1214,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,2,2
1215,"SUJAY ENGG ENTERPRISES
",1,1
1216,SUKHDEV AGRO INDUSTRIES,8,8
1217,SUKHRAJ & SUKHRAJ INDUSTRIES,5,5
1218,SUMFONL AUTO TRADERS PVT LTD,68,68
1219,SUNIL AGRO ENGINEERING WORKS,28,28
1220,SUNSET TRADE PVT LTD,315,315
1221,SUNULTRA POWER SOLUTIONS PVT LTD,95,95
1222,SUPERECO AUTOMOTIVE CO,106,106
1223,SUPER METRO INDUSTRIES,"1,217","1,217"
1224,SUPER STANDARD AGRO COMBINE,5,5
1225,SUPERTECH EV LIMITED,"1,335","1,335"
1226,SUPREME SMART POWER PVT LTD,291,291
1227,SURAJ ENGINEERING WORKS,14,14
1228,SURENDERA AGRO INDUSTRIES,7,7
1229,SURINDERA AGRO INSDUSTRIES,130,130
1230,SURYA INDUSTRIES,17,17
1231,SURYA INTERNATIONAL,3,3
1232,SURYA MOTORS,1,1
1233,SURYODAY MECHANICAL WORKS,1,1
1234,SUZUKI JAPAN,1,1
1235,SUZUKI MOTORCYCLE INDIA PVT LTD,"6,87,350","6,87,350"
1236,S.V.ENGINEERS,6,6
1237,SWADESH MOTORS AND TRACTORS LTD,6,6
1238,SWAMI ENGINEERING WORKS,2,2
1239,"SWAPNA FABRICATION WORKS,MALKANGIRI",5,5
1240,SWARAJ AUTOMOTIVES LTD,22,22
1241,SWARNCHAKRA AUTOMOBILES PVT LTD,10,10
1242,SWASTIK ENGINEERING WORKS,2,2
1243,SWITCH MOBILITY AUTOMOTIVE LTD,380,380
1244,SYAN AGRO INDUSTRY,78,78
1245,SYNDICATE AUTO COMPONENTS,224,224
1246,TADANO LIMITED,4,4
1247,TAFE LIMITED,"92,647","92,647"
1248,TAO POWER PRIVATE LIMITED,4,4
1249,TARLE CONSTRUCTION EQUIPMENTS PVT LTD,5,5
1250,TATA ADVANCED SYSTEMS LTD,432,432
1251,TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD,"1,027","1,027"
1252,TATA HITACHI MACHINERY CONSTRUCTION LIMITED,52,52
1253,TATA INTERNATIONAL VEHICLE APPLICATIONS PVT LTD,5,5
1254,TATA MOTORS LTD,"3,82,705","3,82,705"
1255,TATA MOTORS PASSENGER VEHICLES LTD,"4,83,176","4,83,176"
1256,TAURUS ELECTRIC VEHICLES,267,267
1257,TBL ENTERPRISE,1,1
1258,TEJASGREEN AUTOMOTIVE PVT LTD,41,41
1259,TELCO LTD,4,4
1260,TELSA INC,1,1
1261,TEREX CORPORATION,4,4
1262,TEREX EQUIPMENT PVT LTD,1,1
1263,TEREX INDIA PRIVATE LIMITED,29,29
1264,TERRA MOTORS INDIA PVT LTD,"8,101","8,101"
1265,THE COMMERCIAL MOTORS LIMITED,71,71
1266,THUKRAL ELECTRIC BIKES PVT LTD,"6,225","6,225"
1267,TI CLEAN MOBILITY PVT LTD,3,3
1268,TII INDIA PVT LTD,82,82
1269,TIL LIMITED,4,4
1270,TIL LTD,3,3
1271,TIRTH AGRO TECHNOLOGY PVT LTD,303,303
1272,TIRTH AGRO TECH.PVT.LTD,3,3
1273,TIRTH HYGIENE TECHNOLOGY PVT LTD,13,13
1274,TIRUPATI AGRO INDUSTRIES,10,10
1275,TITAGARH AGRICO (P) LTD,6,6
1276,TOGOR ENGINEERING WORKS,2,2
1277,TOP TEAM MACHINES PVT LTD,"1,478","1,478"
1278,TORK MOTORS PVT LTD,493,493
1279,TOYOTA HIACE GL COMMUTER,1,1
1280,TOYOTA KIRLOSKAR MOTOR PVT LTD,"1,59,441","1,59,441"
1281,TOYOTA MATERIAL HANDLING INDIA PVT LTD,118,118
1282,TPS INFRASTRUCTURE LTD,17,17
1283,TRACLAXX TRACTORS PVT LTD,154,154
1284,TRACLAXX TRACTORS PVT.LTD,1,1
1285,TRACTOR VANDANA GREEN,7,7
1286,TRANS MECH SYSTEMS,2,2
1287,TRANSPORT ENGINEERING SOLUTIONS INDIA PVT LTD,116,116
1288,TRATEC ENGINEERS PVT LTD,74,74
1289,TRIMURTI AGRO INDUSTRIES,12,12
1290,TRIMURTI INDUSTRIES,5,5
1291,TRIMURTI TRAILER,1,1
1292,TRINITY ELECTRIC VEHICLES PVT LTD,8,8
1293,TRISHIKA INDUSTRIES,"1,375","1,375"
1294,TRISHUL TRACTORS PVT. LTD.,9,9
1295,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,944,944
1296,TSM ENGINEERING PVT LTD,73,73
1297,TSR TRADE COM,35,35
1298,TUFAN MOTORS PVT LTD,491,491
1299,T U K INDUSTRIES,"1,497","1,497"
1300,TULJABHAWANI AGRO INDUSTRIES,9,9
1301,TULSI TRAILER,11,11
1302,TUNWAL E MOTORS PVT LTD,71,71
1303,TVS MOTOR COMPANY LTD,"25,10,184","25,10,184"
1304,TWASHTRE AUTOMOTIVE PVT LTD,13,13
1305,TWINKLE TRADCOM PVT LTD,680,680
1306,TWO FRIENDS AUTO ELECTRIC PVT LTD,"3,189","3,189"
1307,TYST DRIVE INDIA PVT LTD,34,34
1308,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,60,60
1309,UMA  AUTO INDUSTRIES PVT. LTD,36,36
1310,UMA MOTORS,162,162
1311,UNIPAVE ENGINEERING PRODUCTS,8,8
1312,UNIQUE ENTERPRISES,"2,054","2,054"
1313,UNIQUE INTERNATIONAL,"11,022","11,022"
1314,UNITED KINGDOM GROVE,6,6
1315,UNITED TRANSMOVERS PVT LTD,356,356
1316,UNITER ENGINEERING PRODUCTS,1,1
1317,U P TELELINKS LIMITED,18,18
1318,U.P. TELELINKS LIMITED,"2,321","2,321"
1319,URWASHI ENTERPRISES,188,188
1320,UTKAL INDUSTRIES,11,11
1321,UTTAM CONSTRUCTION EQUIPMENTS,99,99
1322,VAHAK FUTURE SOLUTIONS LLP,20,20
1323,VANDANA TRAILORS AND BODY MFG PVT LTD,10,10
1324,VANI ELECTRIC VEHICLES PVT LTD,"6,447","6,447"
1325,VARUN INDUSTRIES,1,1
1326,VASHAN AGRICULTURE WORKS,18,18
1327,VEANCO AUTOMOTIVES PVT LTD,8,8
1328,VE COMMERCIAL VEHICLES LTD,"64,165","64,165"
1329,VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),121,121
1330,VECTRA ADVANCED ENGINEERING (P) LTD,5,5
1331,VEECTERO E VEHICLES LLP,157,157
1332,VEERBHADRA ENGINEERING WORKS,4,4
1333,VEHICLE FACTORY JABALPUR,58,58
1334,VENKATESHWARA ENGINEERING WORK,19,19
1335,VENKATESHWAR AGRO INDUSTRIES,7,7
1336,VENUS AUTO WHEELS PVT LTD,457,457
1337,VENUS EQUIPMENT,65,65
1338,VERT EQUIPMENT PVT LTD,16,16
1339,VICTORIA E VEHICLES PVT. LTD,12,12
1340,VICTORY ELECTRIC INTERNATIONAL,"2,616","2,616"
1341,VIDARBHA TRAILERS,7,7
1342,VIJAYA ELECTRIC AUTO PVT LTD,207,207
1343,VIJAY AGRICULTURAL INDUSTRIES,4,4
1344,VIJAYA INDUSTRIES,74,74
1345,VIJAYALAKSHIMI ENGG WORKS,6,6
1346,VIJAYALAKSHMI INDUSTRIES,4,4
1347,VIJAY ENGINEERING WORKS,86,86
1348,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,"2,177","2,177"
1349,VIJAYSHREE AUTOCOM LIMITED,266,266
1350,VIKAS AGRO INDUSTRIES,4,4
1351,VIKRANT ENGINEERING,94,94
1352,VIMAL UNIVERSAL TRADE PVT LTD,521,521
1353,VINA ENGINEERING WORKS,13,13
1354,VINCI INDUSTRIAL CORPORATION,7,7
1355,VINTAGE VEHICLES,579,579
1356,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,5,5
1357,VISHAL AGRICULTURAL WORKS,20,20
1358,VISHAL ENTERPRISES,129,129
1359,VISHAVKARMA AGRO INDUSTRIES,1,1
1360,VISHAVKARMA ENGINEERING WORKS,248,248
1361,VISHVAS TRACTORS LTD.,3,3
1362,VISHWAKARMA AGRICULTURE UDHYOG,118,118
1363,VISHWAKARMA GNG INDUSTRY,15,15
1364,VISHWARUP ENTERPRISE,4,4
1365,VISHWAS EQUIPMENT,1,1
1366,VISWAKARMA AGRO INDUSTRIES,7,7
1367,"VISWANATH INDUSTRIES,BBSR",47,47
1368,VITAN JAGADA AUTOMOBILE PVT LTD,5,5
1369,VMT INDUSTRIES PVT LTD,169,169
1370,VOLKSWAGEN AG,10,10
1371,VOLKSWAGEN INDIA PVT LTD,216,216
1372,VOLTAS LIMITED,23,23
1373,VOLVO AUTO INDIA PVT LTD,"1,759","1,759"
1374,VOLVO CE INDIA PRIVATE LIMITED,519,519
1375,"""VOLVO GROUP INDIA PVT LTD""","1,065","1,065"
1376,VOLVO GROUP TRUCKS CENTRAL EUROPE GMBH,2,2
1377,VOLVO TRUCKS CORPORATION,6,6
1378,VRINDA ENTERPRISES,618,618
1379,V R WELDING WORKS,1,1
1380,VSL INDUSTRIES,3,3
1381,V S TRAILERS,1,1
1382,V.S.T. TILLERS TRACTORS LIMITED,"5,296","5,296"
1383,VST TILLER TRACTOR LTD,1,1
1384,V.T. ENGINEERING,51,51
1385,V.V.A.AUTO INDUSTRIES PVT.LTD,63,63
1386,WAKEN MULTITECH PVT LTD,1,1
1387,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,946,946
1388,WASAN E-MOBILITY SOLUTIONS PVT LTD,35,35
1389,WASIM MEERA ENGG WORKS,55,55
1390,WELKIN HEALTHCARE PVT LTD,82,82
1391,WHITE CARBON MOTORS PVT LTD,71,71
1392,WILLYS INDIA LTD,4,4
1393,WIRTGEN INDIA PVT LTD,363,363
1394,WISENT INFRATECH LLP,26,26
1395,WOX COOLERS PVT LTD,2,2
1396,WUXI DONGMA (IMPORTER: DYNAM PRECISION),11,11
1397,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),69,69
1398,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),34,34
1399,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),29,29
1400,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),14,14
1401,WUXI SAIGE (IMPORTER: WARIVO MOTOR),6,6
1402,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),4,4
1403,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),55,55
1404,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),2,2
1405,XCMG CONSTRUCTION MACHINERY CO. LTD.,4,4
1406,"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",110,110
1407,XXPLORE AUTOMATIVE PVT LTD,14,14
1408,XXPLORE AUTOMOTIVE PVT. LIMITED,15,15
1409,XYZ1,68,68
1410,XYZ2,8,8
1411,YAARI AUTOMOBILES PVT LTD,1,1
1412,YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,10,10
1413,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),32,32
1414,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),5,5
1415,YANGGUANG LINGMU (IMPORTER: ECOINDIA),2,2
1416,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),5,5
1417,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),20,20
1418,YASH AGRO ENGINEERING WORKS,11,11
1419,YC ELECTRIC VEHICLE,"31,840","31,840"
1420,YC ELECTRIC VEHICLE PVT LTD,111,111
1421,YUVRAJ AGRICULTURE WORKS,1,1
1422,YUVRAJ INTERNATIONAL,5,5
1423,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),46,46
1424,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),8,8
1425,ZENIAK INNOVATION INDIA LTD,"1,560","1,560"
1426,ZENMO PRIVATE LIMITED,1,1
1427,ZENTHIUM EV PVT LTD,277,277
1428,ZEOPLUS AXIS INDIA PVT. LTD.,883,883
1429,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,4,4
1430,ZESAR MOTORS PVT LTD,18,18
1431,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),28,28
1432,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),201,201
1433,ZHEJIANG LANGXIANG (IMPORTER: ROUTE AUTO ELECTRIC),1,1
1434,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),34,34
1435,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),14,14
1436,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),19,19
1437,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),19,19
1438,ZOHAN TRADERS AND BIG METRO,29,29
1439,ZOOMLION INDIA PVT LTD,124,124
