Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2022-2023,
178,BIG BULL TRADER PVT LTD,312,312
179,BIJNOR ENTERPRISES,91,91
180,BISWAKARMA ENGINEERING,1,1
181,BLIX CYCLES AND E-VEHICLES PVT LTD,73,73
182,BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,56,56
183,BMW INDIA PVT LTD,"18,245","18,245"
184,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,255,255
185,BOUNCE ELECTRIC 1 PVT LTD,"5,814","5,814"
186,BRIGHT AUTOZONE PVT LTD,"3,682","3,682"
187,BRIGHT METAL WORKS,29,29
188,B R INDUSTRIES,3,3
189,BSA MOTORS,27,27
190,BSMS AGRICULTURE WORKSHOP,36,36
191,BULL MACHINES PVT LTD,715,715
192,BYD INDIA PRIVATE LIMITED,"1,278","1,278"
193,CAPITAL AUTO INDUSTRIES,"1,703","1,703"
194,CAPTAIN TRACTORS PVT. LTD.,"3,451","3,451"
195,CARGOTEC INDIA PVT LTD,2,2
196,CART INDIA,12,12
197,CASE EQUIPMENT PRIVATE LTD,24,24
198,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,"2,906","2,906"
199,CATERPILLAR INDIA PRIVATE LIMITED,"1,842","1,842"
200,CEEON INDIA,487,487
201,CELLETRON MOTOR WORKS,11,11
202,CHAANY AGRO INDUSTRIES,8,8
203,CHAMPION POLY PLAST,"14,514","14,514"
204,CHANDANA CORPORATION,492,492
205,CHANGZHOU YEFEND VEHICLE CO,2,2
206,CHANNY AGRO INDUSTRIES,11,11
207,CHARUVIKRAM AUTOMOBILE PVT LTD,8,8
208,CHAUHAN AUTO INDUSTRIES,471,471
209,CHEHAK BATTERIES,249,249
210,CHETAK TECHNOLOGY LIMITED,"4,292","4,292"
211,CHEVROLET SALES INDIA PVT LTD,2,2
212,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,1,1
213,CHRYSLER MOTORS PVT LTD,2,2
214,CITADEL ENTERPRISES(OPC) PVT LTD,39,39
215,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,846,846
216,CIVIMEC ENGINEERING PVT LTD,4,4
217,CLAAS INDIA P LTD,124,124
218,CLASSIC LEGENDS PVT LTD,"40,804","40,804"
219,C M OVERSEAS,32,32
220,CNH INDUSTRIAL (INDIA) PVT LTD,"30,168","30,168"
221,COMETTO TRAILER,1,1
222,CONMAT HEAVY INDUSTRIES PVT LTD,80,80
223,CONTINENTAL ENGINES PVT LTD,"5,675","5,675"
224,CRANE KRAFT INDIA PRIVATE LIMITED,109,109
225,CYRUS AUTO INDUSTRIES PVT LTD,48,48
226,DADGURU TRAILORS AND ENGINEERING WORKS,3,3
227,DAIMLER AG,9,9
228,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,"17,138","17,138"
229,DAKSH INDUSTRIES,"3,644","3,644"
230,DALIAN FORKLIFT CO.,4,4
231,DALIP SINGH & SONS,29,29
232,DAO EVTECH PRIVATE LIMITED,174,174
233,DASHMESH MECH WORKS PVT LTD,12,12
234,DASHMESH TRADERS,100,100
235,DASMESH AGRICULTURAL INDUSTRIES PVT LTD,7,7
236,DASMESH AGRICULTURE WORKS,36,36
237,DASMESH MECHANICAL WORKS PVT.LTD,425,425
238,DAVE EXIM PVT LTD,238,238
239,DD AUTO PVT LTD,13,13
240,DEEP DRAWN TECHNOLOGIES,4,4
241,DEEP JYOTI ENG PVT LTD,1,1
242,"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",13,13
243,DE EUSI MOTORS PVT LTD.,905,905
244,DELTA AUTOCORP LTD,"1,638","1,638"
245,DELTEK ENTERPRISES PVT LTD,1,1
246,DEMAG AC 300,1,1
247,DEMAG DEMAG HC 340,12,12
248,DEMAGE MOTORS LTD,2,2
249,DEV AGRO INDUSTRIES,11,11
250,DEVANGI ENG..,153,153
251,DEV ENGINEERING WORKS,95,95
252,DEVI ENGINEERING WORKS,6,6
253,DEWAN AGRICULTURE WORKS,8,8
254,DHANALAKSHMI ENGINEERING WORKS,19,19
255,DHANAVENKAT ENGG.WORKS,8,8
256,DHANNLAXMI AUTOWORKS,2,2
257,DHAR IN PVT LTD,9,9
258,DHAR INTERNATIONAL,78,78
259,DHARMRAJ AGRO IND.,3,3
260,DHIMAN AGRICULTURAL WORKS,3,3
261,DHIMAN AGRICULTURE,17,17
262,DHIMAN AGRICULTURE WORKS,5,5
263,DHIMAN AGRO INDUSTRIES,7,7
264,DHIMAN BROTHERS,1,1
265,"DIAMOND ENGG,CTC",28,28
266,DIAMOND E VEHICLES,444,444
267,DILLI ELECTRIC AUTO PVT LTD,"16,964","16,964"
268,DIVANSU AUTOMOBILES LTD,164,164
269,DIVYA ENTERPRISES,891,891
270,D K DIESELS PVT LTD,6,6
271,DODGE MOTORS,1,1
272,DODIYA AGRO WORKS,1,1
273,DOOSAN BOBCAT INDIA PVT LTD,564,564
274,DSF INDUSTRIES PVT LTD,20,20
275,D S INDUSTRIES,49,49
276,DSK MOTOWHEELS PVT LTD.,1,1
277,DUCATI INDIA PVT LTD,349,349
278,DUCATI MOTOR HOLDING S.P.A,2,2
279,DUKE AUTO INDIA,707,707
280,DULEVO INDIA PVT LTD,15,15
281,"DURGA AGRO ENGG,BALASORE",37,37
282,DURGA AGRO WORKS,1,1
283,"DURGA&DURGA ENGG WORKS,BHMPUR",5,5
284,"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",4,4
285,DURGA ENGINEERING WORKS,37,37
286,DURGA TRACTORS PVT LTD,1,1
287,"DWARI ENGG WORKS,SAMBALPUR",6,6
288,DYNAPAC COMPACTION EQUIPMENT,1,1
289,DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,98,98
290,DYNAVOLT TECHNOLOGY INDIA LTD,9,9
291,DYS IMPEX PRIVATE LIMITED,416,416
292,E-ASHWA AUTOMOTIVE PVT LTD,163,163
293,EBUZZ MOBILITY LLP,2,2
294,ECO DYNAAMIC EQUIPMENTS,70,70
295,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,12,12
296,ECO FUEL SYSTEMS (I) PVT LTD,689,689
297,ECO SMART VEHICLES PVT LTD,587,587
298,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,4,4
299,EDMRC MANNSCHAFT LLP,64,64
300,EEVEE ENGINEERING PVT LTD,14,14
301,EFEV CHARGING SOLUTION PVT LTD,141,141
302,E-GURU AUTO ENERGY,32,32
303,EICHER MOTORS LTD,53,53
304,EICHER TRACTORS,"53,112","53,112"
305,EIMCO ELECON,12,12
306,ELECTRA INTERNATIONAL,3,3
307,ELECTRECA VEHICLES,102,102
308,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2,2
309,ELECTROTHERM (INDIA) LIMITED,7,7
310,ELEPHANTA INDUSTRIES PVT LTD,45,45
311,ELGIN SWEEPER CO USA,2,2
312,ELITE AUTO ENGINEERS PVT LTD,683,683
313,ELSA CONCRETING MACHINERY INDIA PVT LTD,9,9
314,ELTHOR ENERGY PRIVATE LIMITED,657,657
315,E-MOTION AUTOMOTIVE INDUSTRY LLP,427,427
316,ENERGY ELECTRIC VEHICLES,"7,254","7,254"
317,ENGTIAN ELECTRIC BIKE PVT LTD,258,258
318,ENTICE IMPEX PVT LTD,216,216
319,EPOWER VEHICLES PVT LTD,45,45
320,E ROYCE MOTORS INDIA PVT LTD,"1,186","1,186"
321,ESCORTS CONSTRUCTION EQUIPMENT LTD,"7,912","7,912"
322,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),"79,625","79,625"
323,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),"3,718","3,718"
324,ESCORTS LTD,1,1
325,ESCORTS R&D CENTRE,18,18
326,ESCORTS TRACTORS LTD,4,4
327,ESSAR ENGINEERING,39,39
328,ESSAR ENGINEERING MAYURBHANJ BARIPADA,1,1
329,ETRIO AUTOMOBILES PVT LTD,189,189
330,EULER MOTORS PVT LTD,883,883
331,EVAGE AUTOMOTIVE PVT LTD,3,3
332,EVBHARAT RANGE PRIVATE LIMITED,19,19
333,EVCO AUTOMOBILES PVT LTD,57,57
334,EVEX AUTO INDIA PVT LTD,281,281
335,EVTRIC MOTORS PVT LTD,307,307
336,EXERVAL PVT LTD,153,153
337,EXIDE INDUSTRIES LTD,"1,428","1,428"
338,EXTRA FAST SOLUTIONS,410,410
339,EXTREME MOTORS,212,212
340,FAIYAZA FAIYAZ AUTO PVT,1,1
341,"FARMER TRACTOR, METODA G.I.D.C.",3,3
342,FARMTECH AGRO INDUSTRIES,6,6
343,FCA INDIA AUTOMOBILES PRIVATE LIMITED,"11,838","11,838"
344,FEDE INDUSTRIES PVT LTD,536,536
345,FERRARI INDIA PRIVATE LIMITED,16,16
346,FERRARI SPA,17,17
347,FIADO INDUSTRIES PVT LTD,23,23
348,FIELDTRACK EARTHMOVERS PVT LTD,39,39
349,FINE EQUIPMENTS INDIA PVT LTD,1,1
350,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,415,415
351,FITWEL MOBILITY PVT LTD,30,30
352,FIVE ELEMENTS,48,48
353,FORCE MOTORS LIMITED,"22,425","22,425"
354,FORD INDIA PVT LTD,134,134
355,FRIENDS AGRO INDUSTRIES,13,13
356,GAHIR AGRICULTURAL INDUSTRIES,23,23
357,GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),1,1
358,GAMZEN PLAST PVT LTD,6,6
359,GANESH AGRO INDUSTRIES,300,300
360,GAURI AUTO INDIA PVT. LTD,9,9
361,GAUTAM AGRO INDUSTRIES,16,16
362,GAYATRI AGRO INDUSTRIES,2,2
363,GAYATRI ELECTRIC VEHICLES PVT LTD,"2,491","2,491"
364,GENERAL MOTORS INDIA PVT LTD,9,9
365,G & G AUTOMOTIVE,849,849
366,GIAN AGRO INDUSTRIES,15,15
367,GILL AGRICULTURE WORKS,47,47
368,GILL AGROTECH,36,36
369,GILL MECHANICAL WORKS,2,2
370,GILL PREET AGRO INDUSTRIES,2,2
371,GILLPREETAGRO INDUSTRIES,18,18
372,GKON ELECTRIC MOTOR VEHICLES PVT LTD,921,921
373,G.K. RICKSHAW PVT LTD,"4,346","4,346"
374,G. M. VEHICLE INDUSTRIES,9,9
375,GOBIND AGRO INDUSTRIES,85,85
376,GOBIND INDUSTRIES PVT LTD,13,13
377,GOBIND MOTOR GARAGE,31,31
378,GODAWARI ELECTRIC MOTORS PVT LTD,9,9
379,GODAWARI TECHNO SOLUTIONS PVT LTD,70,70
380,GODREJ AND BOYCE MFG CO LTD,18,18
381,GODREJ & BOYCE MFG. CO. LTD,179,179
382,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,659,659
