Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
523,"JAGANATH AGRL IMPLEMENTS,BOUDH",1,1
524,JAGDAMBA TRAILERS PVT LTD,54,54
525,JAGDISH ENGINEERING WORKSHOP,1,1
526,JAGRUTI MOTORS LTD.,2,2
527,JAGUAR LAND ROVER INDIA LIMITED,"3,831","3,831"
528,JAI BHAVANI ENGINEERING  WORKS,64,64
529,JAIDKA POWER SYSTEMS PVT LTD,120,120
530,JAIN POWER CORP,133,133
531,JAISIK BUSINESS LINKS PVT LTD,641,641
532,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,209,209
533,JAJODIA COMMODITIES PVT LTD,"1,129","1,129"
534,JAL ENTERPRISES,27,27
535,JANGEER MANUFACTURING INDUSTRIES PVT LTD,3,3
536,JANTA AGRICULTURE WORKS,3,3
537,JAY AGRO INDUSTRIES,120,120
538,JAYATI TOOLS,2,2
539,JAY BHAVANI TRAILOR,16,16
540,JAYDEV ENTERPRISE,6,6
541,JAY JANARDAN TRAILOR,7,7
542,JAY JANARDHAN A.T EQUIPMENTS,7,7
543,JAY SHREE BALAJI ENG WORKS,2,2
544,JBM AUTO LIMITED,530,530
545,J.C. BAMFORD EXCAVATORS LIMITED,1,1
546,JCB INDIA LIMITED,"38,817","38,817"
547,JCB INDIA LTD,40,40
548,JCBL LIMITED,1,1
549,JEET AGRO INDUSTRIES,3,3
550,"JENA ENGINEERING WS,PURI",1,1
551,JESSUN TECHNO PVT LTD,202,202
552,JIANGSU AIMA (IMPORTER: FUTURE EV),24,24
553,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),374,374
554,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),10,10
555,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),22,22
556,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),2,2
557,JIANGSU DALONG (IMPORTER: SABOO TOR),30,30
558,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),53,53
559,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),1,1
560,JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),6,6
561,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),35,35
562,JIANGSU JINPENG (IMPORTER: KKL HITECH EV),18,18
563,JIANGSU SUNHOU (IMPORTER: SABOO TOR),9,9
564,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),65,65
565,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),4,4
566,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),553,553
567,JITENDRA NEW EV-TECH PVT. LTD,"1,946","1,946"
568,JITENDRA TEMPO PARTS,706,706
569,JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD,11,11
570,J K AGRO INDUSTRIES,39,39
571,J K AMO-PAPERS & CO,4,4
572,JMSSP AGRO INDUSTRIES PVT LTD,21,21
573,JMT VEHICLES PVT LTD,"1,614","1,614"
574,JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV),12,12
575,JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),"64,257","64,257"
576,JOYRAM STEEL FABRICATION WORKS,8,8
577,J P AUTO TECH,64,64
578,J S AGRO INDUSTRIES,81,81
579,J. S. AGRO INDUSTRIES,1,1
580,J. S. AUTO (P) LTD,"12,517","12,517"
581,JS MOBILEON PVT LTD,899,899
582,JSW MG MOTOR INDIA PVT LTD,"49,977","49,977"
583,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),48,48
584,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),228,228
585,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),16,16
586,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),28,28
587,KABIRA MOBILITY LLP,106,106
588,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,380,380
589,KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,9,9
590,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),13,13
591,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),52,52
592,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),20,20
593,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),7,7
594,KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),3,3
595,KAKKAR ELECTRIC AUTO PVT LTD,6,6
596,"KALINGA AGRO INDUSTRIES ,PIPILI,PURI.",2,2
597,KALINGA ENGINEERING,1,1
598,KALINGA VENTURES INDIA PVT LTD,106,106
599,KALPVRIKSH ELECTOMOBILES CO,349,349
600,KALYANI AGRO IMPLIMENTS,1,1
601,KAMAL COACH WORKS PVT LTD,1,1
602,KAMAZ INDUSTRIES,105,105
603,KAPTECH INDIA PVT LTD,"2,046","2,046"
604,KARBRO AGRO TECH,1,1
605,KARMA MECHANICAL WORKS,51,51
606,KARTAR AGRO INDUSTRIES PVT LTD,"1,413","1,413"
607,KARTAR TRACTORS PRIVATE LIMITED,248,248
608,KAWASAKI HEAVY INDUSTRIES LTD,1,1
609,KCAS ELECTRIC VEHICLES PVT LTD,163,163
610,K D AGRO INDUSTRIES,45,45
611,KERALA AUTOMOBILES LIMITED,103,103
612,KETO MOTORS PVT LTD,97,97
613,KGN,331,331
614,KGN INDUSTRIES,522,522
615,"KHAGESWAR AUTO BUILD WORKS,HALADIAPADAR,BERHAMPUR,GANJAM",1,1
616,KHALSAE-VEHICLES PVT LTD,"9,363","9,363"
617,KHAN ENGINEERING WORKS,59,59
618,KHUSHI AGRO ENGINEERING,10,10
619,KIA INDIA PRIVATE LIMITED,"2,26,347","2,26,347"
620,KIA MOTORS CORPN,2,2
621,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,"14,117","14,117"
622,KINETIC GREEN ENERGY P SOL LTD,4,4
623,KINETIC MOTOR COMPANY LIMITED,1,1
624,KION INDIA PVT LTD,795,795
625,KIRAN AUTOMOBILE INDUSTRY,76,76
626,KIRTI SOLAR LTD,16,16
627,KISAN ENGINEERING,6,6
628,KISAN ENGINEERING WORKS,37,37
629,KISSAN AGRO INDUSTRIES,26,26
630,KISSNA ENGG WORKS,2,2
631,KLB KOMAKI PVT LTD,"3,904","3,904"
632,KOBELCO LTD.,3,3
633,KOMATSU INDIA PRIVATE LIMITED,3,3
634,KOMATSU LTD JAPAN,30,30
635,KPT INDUSTRIES LTD,9,9
636,KPT MOTORS,81,81
637,KRISHNA AGRO ENGI,1,1
638,KRISHNA ENGINEERING WORKS,"1,058","1,058"
639,KRISHNA INDUSTRIES,14,14
640,KRISHNA VEHICALS,256,256
641,KRUP P,7,7
642,KRUSHI KISAN TRAILORS,1,1
643,KRUSHNA AGRO ENGINEERING WORKS,1,1
644,K S AGRICULTURAL  INDUSTRIES,1,1
645,K.S. AGRICULTURAL INDUSTRIES PVT. LTD,234,234
646,K.S. AGROTECH  PVT LTD,118,118
647,K. S. INDUSTRIES,5,5
648,K T ENTERPRISES,180,180
649,KTM MOTORRAD AG,1,1
650,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,"17,691","17,691"
651,KUKU AUTOMOTIVES,539,539
652,KULAR AGRO WORKS,44,44
653,KUMARAN ENGINEERING ENTERPRISES,240,240
654,KUMAR ENGINEERING,"2,679","2,679"
655,KURUKSHETRA AUTOMOBILES (P) LTD.,1,1
656,KUSHAL AGRO IND,74,74
657,K. V. INDUSTRIES,42,42
658,KYTE ENERGY PVT. LTD.,580,580
659,LAKSHMI AUTO TRADERS,16,16
660,LAKSHMI MOTORS,5,5
661,LAKSHYA AUTO SALES CORPORATION,259,259
662,LAKSHYA MOTORS,8,8
663,LALA G E RICKSHAW AND SPARE PARTS,11,11
664,LAL AGRO INDUSTRIES,8,8
665,LAL CHAND AGRICULTURE WORKS,10,10
666,LAWAT MOTORS,1,1
667,LAWAT MOTORS LLP,437,437
668,LAXMI ENGINEERING WORKSHOP,4,4
669,"LAXMI GOBINDA AGRO IND,BLS",38,38
670,L B AGRO PRODUCTS,72,72
671,LECTRIX E VEHICLES PVT LTD,"14,913","14,913"
672,LEEBOY INDIA CONSTRUCTION EQUIPMENT PVT.LTD.,1,1
673,LEOPAN MOTORS PRIVATE LIMITED,15,15
674,LEXUS MOTORS LTD,3,3
675,LIEBHERR,31,31
676,LIEBHERR INDIA PVT LTD,12,12
677,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,5,5
678,LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),2,2
679,LINDE,1,1
680,LIONIZE AUTOMOBILE PVT LTD,64,64
681,LIUGONG INDIA PVT. LTD,863,863
682,LML LIMITED,3,3
683,LOCAL TRAILER MANUFACTURER,"44,421","44,421"
684,LOHIA AUTO INDUSTRIES,"1,536","1,536"
685,LORDS VEHICLE MFG PVT LTD,161,161
686,LOTAY AGRO TECH,22,22
687,LOTEY AGRICULTURE WORKS,24,24
688,LOVEJEET AGRO INDUSTRY,16,16
689,L & T CASE EQUIPMENT PVT LTD,23,23
690,L&T CONSTRUCTION EQUIPMENT LIMITED,389,389
691,L&T CONSTRUCTION MACHINERY LIMITED,1,1
692,LUCKY INDUSTRIES,52,52
693,MAAA MANASA TRAILOR WORKS,5,5
694,MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,9,9
695,MAA ENGINEERING TRAILOR,91,91
696,MAA KALPANA ENTERPRISE,228,228
697,MAA LUXMI E-VEHICLES PVT. LTD.,1,1
698,"MAA MANGALA ENTERPRISES,SNG",8,8
699,"MAA MANGALA MOTORS & ENGG,RKL",8,8
700,MAA SHAKTI EXIM PVT LTD,"2,393","2,393"
701,MAA TARINI ENGINEERING,26,26
702,MAC AUTO INDIA,617,617
703,MACHINE WORKS,1,1
704,MAC INTERNATIONAL (IMPORTER:HONESTY),2,2
705,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),16,16
706,MACNEILL ENGINEERING LIMITED,2,2
707,MACONS EQUIPMENTS PVT LTD,5,5
708,MADHU AUTOMOBILES LTD,24,24
709,MAHABIR INDUSTRIES,8,8
710,MAHALAXMI ENGINEERING WORKS,1,1
711,MAHAVIR AGRO EQUIPMENTS,1,1
712,MAHAVIR TRACTOR AND IMPLEMENTS,8,8
713,MAHI ENTERPRISES,29,29
714,MAHINDRA DEFENCE SYSTEMS LTD,43,43
715,MAHINDRA ELECTRIC MOBILITY LIMITED,775,775
716,MAHINDRA GUJARAT TRACTOR LIMITED,1,1
717,MAHINDRA LAST MILE MOBILITY LTD,"40,413","40,413"
718,MAHINDRA & MAHINDRA LIMITED,"6,99,097","6,99,097"
719,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),"1,60,004","1,60,004"
720,MAHINDRA & MAHINDRA LIMITED (TRACTOR),"2,04,761","2,04,761"
721,MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,88,88
722,MAHINDRA TWO WHEELERS LTD,2,2
723,MAHTAB BODY MAKER,922,922
724,MALAK TECHNO PVT LTD,86,86
725,MALI ENTERPRISES PVT LTD,7,7
726,MALIK ENGINEERING WORKS,3,3
727,MALKIT AGRO INDUSTRIES,1,1
728,MALKIT AGRO TECH PVT. LTD,829,829
729,MANDAL ENGINEERING WORKSHOP,1,1
730,MANDEEP ENGINEERING WORKS,14,14
731,MANIRAM ELECTRIC VEHICLE PVT LTD,600,600
732,MANISH EV INTERNATIONAL PRIVATE LIMITED,464,464
733,MANITA CITY MOTORS LLP,"1,973","1,973"
734,MANITOU EQUIPMENT INDIA PVT LTD,522,522
735,MANITOWOC INDIA LIMITED,1,1
736,MANKU AGRO TECH PVT LTD,"1,817","1,817"
737,MANKU AGRO TECH. PVT. LTD.,9,9
738,MANMOHAN KAUR,98,98
739,MANPREET AGRO INDUSTIRES NABHA,1,1
740,MANPREET AGRO INDUSTRIES,6,6
741,MARATHWADA QUALITY TRAILER,26,26
742,MARINE NAVAIDS & SOLAR AUTO PVT LTD,3,3
743,MARKUS,39,39
744,MARSHAL MOTORS,1,1
745,MARTHWADA TRALIOR,28,28
746,MARUTHISAN PVT LTD,161,161
747,MARUTI INDUSTRIES,1,1
748,MARUTI SUZUKI INDIA LTD,"16,50,308","16,50,308"
749,MARUTI UDYOG LTD,323,323
750,MASERATI S.P.A,15,15
751,MASSEY FERGUSON LTD,5,5
752,MATHAROO BROTHERS AGRO TECH PVT LTD,7,7
753,MATHARU ENGINEERING AGRI WORKS,58,58
754,MATHARU ENGINEERING WORKS,22,22
755,MAULIRAJ INDUSTRIES LLP,4,4
756,"MAYUR ENTERPRISES,BARIPADA",52,52
757,MB AGRO INDUSTRIES,26,26
758,MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),10,10
759,MECPOWER MOBILITY PVT. LTD.,179,179
760,MEERA AUTO IND,1,1
761,MEGH RAJ GOYAL & COMPANY,1,1
762,MEHAR AGRO ENGINEERING,1,1
763,MEHER FABRIC WORKS,2,2
764,MEHER TRAILERS PVT LTD,3,3
765,MERCEDES -BENZ AG,"1,297","1,297"
766,MERCEDES-BENZ INDIA PVT LTD,"14,386","14,386"
767,MEW ELECTRICALS LIMITED,99,99
768,M G INDUSTRIES,162,162
769,M H AGRICULTURE WORKS,27,27
770,MICROAUTOTECH PVT. LTD.,2,2
771,MILLENNIAL MOTORS LLP,17,17
772,MINI METRO,2,2
773,MINI METRO EV L.L.P,"16,067","16,067"
774,MINSK TRACTOR (IMPORTER: ERISHA AGRITECH),9,9
775,MIRAKLE 5 AUTOMOBILES PVT LTD,83,83
776,MITSUBISHI MOTORS CORPORATION,3,3
777,M K BROTHERS,4,4
778,M.K. ENTERPRISES,"1,171","1,171"
779,MLR AUTO LTD,"2,251","2,251"
780,MODERN  AGRO  INDUSTRIES,1,1
781,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),42,42
782,MOHAN ENGINEERING WORKS SAMBALPUR SINDURPANK,1,1
783,MOHAN GENERAL TRADING COMPANY,42,42
784,MOHINDRA ENGINEERING WORKS,8,8
785,MOMU AUTOMOTIVE,29,29
786,MONDAL TRADING,95,95
787,MOON AGRICULTURE & FABRICATION WORKS,11,11
788,MOTOROYALE KINETIC PRIVATE LIMITED,1,1
789,MOTOVOLT MOBILITY PVT LTD,3,3
790,MOVE STONE SERVICES PVT LTD,"3,504","3,504"
791,M S AGRO INDUSTRIES,28,28
792,"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",58,58
793,M/S ASHOKA INDUSTRIES,20,20
794,M/S BHARAT TRAILERS,223,223
795,"M/S CHUDHURY ENGG. WORKS,BAMRA,SAMBALPUR",1,1
796,M/S DAS ENGINEERING WORKSHOP,11,11
797,M/S HARITKRANTI AGRO UDYOG,36,36
798,M/S HOTA AGRO (TRAILER),8,8
799,M/S JAVED STEEL INDUSTRIES,10,10
800,M/S KASTKAR AGRO INDUSTRIES,123,123
801,M/S K K AGRO INDUSTRIES,21,21
802,M/S LAKSHMI ENGINEERING WORKS,3,3
803,M/S LOHIYA AGRO INDUSTRIES,19,19
804,M/S MAA MANGALA INDUSTRIES,87,87
805,M/S MAA MOTORS WORKS,54,54
806,M/S MAA MOTORS WORKSHOP,72,72
807,M/S NANDI ENGINEERING WORKS,12,12
808,M/S NATIONAL STEEL AND WIRE PRODUCTS SAMBALPUR,2,2
809,M/S NELATARA FABRICATION,1,1
810,M/S NEW SHETKARI ENGINEERING WORK,55,55
811,M/S NEW SHIV SHAKTI TRAILORS,2,2
812,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",11,11
813,M/S POWER TECH TECHNOLOGY,5,5
814,M/S PRADHAN AGRO ENGINEERING,2,2
815,M/S RAM AGRO MACHINARY,31,31
816,M/S R.K. ENGINEERING WORKS,5,5
817,M/S SAI AUTO ENGINEERING WORKS,6,6
818,M/S. SANJUKTA AGRO MART,1,1
819,M/S SARANGI MOTROS,151,151
820,M/S SARMA ENGINEERING WORKS,12,12
821,M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,960,960
822,M/S-SHRADHA INDUSTRIES,32,32
823,M/S SHREE SHYAM AGRO PRODUCTS,6,6
824,M/S SHRI DATTA WELDING WORKS,6,6
825,M/S SHRIRAM AUTO TECH PVT LTD,"3,648","3,648"
826,M/S SREE SARAVANABAVA AGRO INDUSTRIES AP313373321,1,1
827,"M/S. S. R. ENTERPRISES,JAIPATNA",1,1
828,M/S S.S. AGRO INDUSTRIES,7,7
829,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",50,50
830,M/S SUPERIOR MANUFACTURING COMPANY,27,27
831,"M/S. VENKAT ENGINEERING WORKS, JAIPATNA",8,8
832,M/S VISHNU CLEAN ENERGY VEHICLES LLP,12,12
833,M/S YOGIRAJ ENGINEERING COMPANY,2,2
834,MUNDE MECHANICAL WORKS,78,78
835,MYTRAH MOBILITY PVT LTD,214,214
836,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,"5,355","5,355"
837,NABHKIRAN AGRO INDUSTRIES,5,5
838,NABINA WELDING,1,1
839,"NAIK TROLLEY AND IMPL,SNG","1,318","1,318"
840,"NAIK TROLLEY&IMPLS,BHEDABAHAL",6,6
841,NAMAH INDUSTRIES PVT LTD,37,37
842,NAND ELECTRIC MOTOR VEHICLE PVT LTD,3,3
843,NARAINDASS AND SONS,4,4
844,NARINDERA AGRO WORKS,22,22
845,NARMADA INDUSTRIES,2,2
846,NATIONAL ENGG WORKS,3,3
847,NAVDURGA TRAILERS,13,13
848,NAZAR SINGH & SONS,46,46
849,NDS ECO MOTORS PVT LTD,8,8
850,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,662,662
851,NEELAM CYCLE,46,46
852,NEERAJ AGRO INDUSTRIES,2,2
853,NEUON MOTORS LLP,70,70
854,NEW ARCANA INDIA,"1,121","1,121"
855,NEW DEVE AGRO WORKS,40,40
856,NEW DURGA ENGINEERING,1,1
857,NEW FRIENDS INDUSTRIES,3,3
858,NEW GAHIR AGRO INDUSTRIES,70,70
859,NEW GOBIND AGRO INDUSTRIES,40,40
860,NEW GOLDEN AGRICULTURE,5,5
861,NEW GURDIAL AGRO INDUSTRIES PVT LTD,226,226
862,NEW HIND AGRO PVT LTD,2,2
863,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,12,12
864,NEW HOLLAND FIAT INDIA PVT. LTD.,18,18
865,NEW JANTA QUALITY TRAILOR,8,8
866,NEW KISAN ENGINEERING WORKS,7,7
867,NEW MALLIKARJUNA ENG WORKS,313,313
868,NEW MARTHWADA QUALITY TRAILOR,23,23
869,NEW SUPER QUALITY TRAILOR,91,91
870,NEWTON INDIA INDUSTRIES PVT LTD,2,2
871,NGAGE WHEEL PVT LTD,46,46
872,NHD MOTORS,313,313
873,NIBE MOTORS PVT LTD,17,17
874,NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),168,168
875,NINGBO SANJIANG (IMPORTER: VABRO EVTECH),7,7
876,NIPUN SANYANTRA PVT LTD,385,385
877,NIRMAL UTILITY SERVICES PVT LTD,21,21
878,NISIKI TECHNOLOGIES PVT LTD,149,149
879,NISSAN MOTOR INDIA PVT LTD,"27,380","27,380"
880,N K INDUSTRIES,166,166
881,NORTON,1,1
882,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,"3,052","3,052"
883,N.S. AGRO WORKS,23,23
884,NUMEROS MOTORS PVT LTD,399,399
885,OBEN ELECTRIC VEHICLES PVT LTD,78,78
886,OCULUS AUTO INDUSTRIES LLP,5,5
887,ODYSSE ELECTRIC VEHICLES PVT LTD,261,261
888,OGATA MOTORS INDIA PVT LTD,159,159
889,OKAYA EV PVT LTD,"14,036","14,036"
890,OKINAWA AUTOTECH PVT LTD,"20,874","20,874"
891,OK PLAY INDIA LTD,135,135
892,OLA ELECTRIC TECHNOLOGIES PVT LTD,"3,29,950","3,29,950"
893,OLECTRA GREENTECH LTD,437,437
894,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,"3,108","3,108"
895,OM BALAJI AUTOMOBILES I P LTD,1,1
896,OMEGA CONSTRUCTION EQUIPMENT PVT LTD,11,11
897,OMEGA SALES & AGRO INDUSTRIES,341,341
898,OMEGA SEIKI PVT LTD,"5,637","5,637"
899,OM INDUSTRIES,259,259
900,OMJAY EV LIMITED,47,47
901,OM RAJ AUTOTECH LLP,"1,238","1,238"
902,OM SHREE SAI ENGINEERING,28,28
903,"OM VINAYAK INDUSTRIES,BGH",5,5
904,ORDINANCE FACTORY,110,110
905,OTHERS,"20,932","20,932"
906,OZOTEC AUTOMOBILE PRIVATE LIMITED,250,250
907,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,10,10
908,PACE AGRO PRIVATE LIMITED,30,30
909,PANESAR AGRICULTURE INDUSTRIES,2,2
910,PANESAR AGRO TECH,75,75
911,PANTHER ELECTRIC VEHICLES,67,67
912,PARAMESWARA ENG. WORKS,2,2
913,PARAMOUNT AUTOMOTIVES,29,29
914,PARAS INDUSTRIES,"3,634","3,634"
915,PARDEEP AGRO INDUSTRIES,16,16
916,PARI E-VEHICLES,526,526
917,PARI METRO E RICKSHAW,849,849
918,PARVEEN AUTO,74,74
919,PATEL INDUSTRIES,4,4
920,PATS MOTOR CORP,20,20
921,PAUL INDUSTRIES,20,20
922,PAUNIYA TRACTORS AND FARM EQUIPMENT PVT LTD,6,6
923,P B NATIONAL AGRICULTURE WORKS,3,3
924,PCA AUTOMOBILES INDIA PVT LTD,"8,347","8,347"
925,PERFECT TECHNOCRATS,1,1
926,PIAGGIO VEHICLES PVT LTD,"1,31,245","1,31,245"
927,PILLING RIG,1,1
928,PINNACLE MOBILITY SOLUTIONS PVT LTD,74,74
929,PLAUDIT TECHNO INDIA PVT LTD,116,116
930,P M DIESELS PVT LTD,119,119
931,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,384,384
932,PODDAR INDUSTRIES,2,2
933,POLARIS INDIA PVT LTD,123,123
934,POLYHOSE INDIA PRIVATE LIMITED - C E DIVISION,1,1
935,POOSHPAK AUTOMOBILES PVT LTD,160,160
936,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),199,199
937,PORSCHE AG GERMANY,822,822
938,PORWAL ELECTRIC,3,3
939,POWERLAND AGRO TRACTOR VEHICLES PVT LTD,1,1
940,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,97,97
941,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,11,11
942,PRAGATI AGRICULTURE,1,1
943,PRAGATI ENGINEERING,17,17
944,PRAG MOTORS,215,215
945,PRAGYA AUTOMOBILE PVT LTD,56,56
946,PRAJJWAL MAHAJAN TRADERS,80,80
947,PRAKASH ENTERPRISES,80,80
948,PRAKASH TRAILER,16,16
949,PRASAD AGRICULTURAL PRODUCT,1,1
950,PRASAD AND PRASAD ENG,6,6
951,PRATYAKSHA TRACTORS PVT LTD,1,1
952,PREEET AGRO INDUSTRIES PVT LTD,1,1
953,PREET AGRO INDUSTRIES PVT LTD,691,691
954,PREET TRACTORS PVT LTD,"2,539","2,539"
955,PREET TRACTORS PVT. LTD.,5,5
956,PRESTANTIA CREATIONS PVT LTD,15,15
957,PRIDE E-MOTORS,534,534
958,PRINCE AGRO WORKS,10,10
959,PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,117,117
960,PROPEL INDUSTRIES PVT. LTD.,10,10
961,PUBANG ETRON ELECTRIC MOTOR PVT LTD,9,9
962,PUJA ENGINEERING WORKS,6,6
963,PUNJAB AGRO IMPLEMENTS INDUSTRIES,11,11
964,PUNJAB BODY BUILDERS,48,48
965,PUNJAB ENGINEERING COMPANY,23,23
966,PUNJAB HI-TECH INDUSTRIES,19,19
967,PUNJAB HYDROLIC & ENGINEERS,3,3
968,PUNJAB TRACTORS LIMITED,13,13
969,PUR ENERGY PVT LTD,"6,981","6,981"
970,PURVA UDYOG PVT LTD,17,17
971,PUSHKAR INDUSTRIES,73,73
972,PVT MAKER,14,14
973,PYTHOX MOTORS PVT LTD,446,446
974,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),769,769
975,QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),108,108
976,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),24,24
977,QUALITY ENGINEERING WORK,4,4
978,QUANTUM ENERGY LTD.,"3,474","3,474"
979,R3 ENTERPRISES,586,586
980,RACCOON MOTORS PVT LTD,14,14
981,RADHESHYAM TRAILOR,76,76
982,RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD,3,3
983,RAHUL AGRO EXPORTS PVT LTD,105,105
984,RAJA ARTS HITECH ENGINEERING,1,1
985,"RAJA RANEE AGRO E WORKS,ANGL",6,6
986,RAJ AUTOMOTIVE,76,76
987,RAJESH STEEL AND WIRE INDUSTRIES,7,7
988,RAM AGRO INDUSTRIES,58,58
989,RAMA INDUSTRIES,17,17
990,RAM CHAND & SONS,32,32
991,RAMGARHIA ENGG WORKS,20,20
992,RAMJI AGRO INDUSTRIES,5,5
993,RAM JI ENGINEERING WORKS,7,7
994,RAMON INDUSTRIES,113,113
995,RANA ENGINEER WORKS,803,803
996,RANI TRAILER,1,1
997,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,210,210
998,RASIWASIA RASAYAN PVT LTD,4,4
999,RATAN ENGINEERING WORKS,20,20
1000,RATNA ENGINEERING ENTERPRISES,9,9
1001,RAVI METAL WORKS,79,79
1002,RAVINDRA AGRO WORKS,3,3
1003,RAYON ENGINEERS,"1,344","1,344"
1004,RCJ AUTO FORGE PVT LTD,710,710
1005,RD AND CO,1,1
1006,RDS INDUSTRIES,1,1
1007,REEP INDUSTRIES PVT LTD,"1,224","1,224"
1008,REFLEX CONTROL SYSTEM PVT .LTD,76,76
1009,REGENERATION E BIKES,2,2
1010,RENAULT INDIA PVT LTD,"46,639","46,639"
1011,REPUBLIC MOTORS,302,302
1012,REVOLT INTELLICORP PVT LTD,"7,352","7,352"
1013,RGM BUSINESS PLUS PVT LTD,662,662
1014,RG PETRO MACHINERY CO,1,1
1015,RIBAND ELECTRIC PVT LTD,460,460
1016,RIVER MOBILITY PVT LTD,386,386
1017,RIYA ENTERPRISE,19,19
1018,"RK ENGG WORKS,JUNAGARH",2,2
1019,RK TRACTOR,1,1
1020,ROANSOME MOTORS,45,45
1021,ROARLEO MOTOR PVT LTD,322,322
1022,ROLLS ROYCE,4,4
1023,ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),24,24
1024,ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),25,25
1025,ROOPRAI AGRO INDUSTRIES,9,9
1026,ROWWET MOBILITY PVT LTD,151,151
1027,ROYAL AUTOMOBILES,1,1
1028,ROYAL-ENFIELD (UNIT OF EICHER LTD),"7,82,892","7,82,892"
1029,ROYAL TRACTOR PVT LTD,17,17
1030,ROYCE EV PVT LTD,57,57
1031,RP MOTORS,84,84
1032,RUPAL AGRO IND,1,1
1033,RUPAL AGRO INDUSTRIES,26,26
1034,RUTBA PRODUCT PVT LTD,629,629
1035,SACHITANAND ENGINEERING WORKS,9,9
1036,SADGURU TRAILER & AGRI EQUIP,11,11
1037,SAERA ELECTRIC AUTO PVT LTD,"30,128","30,128"
1038,SAGAR AGRO STEEL INDUSTRIES,195,195
1039,SAGAR FABRICATIONS,10,10
1040,SAGAR INDUSTRIES,8,8
1041,SAHARA TRALIORS,20,20
1042,SAHNIANAND E VEHICLES PVT LTD,"6,902","6,902"
1043,SAHU INDUSTRIES,37,37
