Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
525,HINDUSTAN AGRICULTURAL IMPLEMENTS ANTPR,1,1
526,HINDUSTAN ENGINEERING WORKS AP312870753,2,2
527,HINDUSTAN MOTOR CORPORATION,946,946
528,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,47,47
529,HINDUSTAN MOTORS LTD,3,3
530,HINDUSTHAN TECHNOLOGIES PVT LTD CUTTACK JAGATPUR,1,1
531,HIRA AGRO INDUSTRIES,139,139
532,HIREN ENGINEERING WORKS,6,6
533,HI TECH ENGINEERING BHADRAK CHARAMPA,36,36
534,HITECH ENGINEERING LTD,28,28
535,HITECH ENGINEERING WORKS CHANDIKHOLE SUNGUDA,2,2
536,HI-TECH INDUSTRIES,18,18
537,HITECH  MECHANICAL WORKS,6,6
538,HITENDRA WELDING WORKS,100,100
539,HOLLAND TRACTORS PVT LTD,2,2
540,HOMFEEL VEGH AUTOMOBILES PVT LTD,7,7
541,HONDA CARS INDIA LTD,"64,965","64,965"
542,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"47,92,165","47,92,165"
543,HONGKONG WANGYUAN (IMPORTER:INDI ELECTRIC EELS),19,19
544,HONGKONG WANGYUAN (IMPORTER:POWERTRANS MOBILITY),1,1
545,HONGKONG YIXING (IMPORTER: ADMS MARKETING),328,328
546,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),2,2
547,HOOGHLY MOTORS PVT LTD,"4,957","4,957"
548,HOP ELECTRIC MOBILITY PVT LTD,289,289
549,HOP MOTORS PVT LTD,276,276
550,HOTA AGRO TRAILOR SONEPUR SONEPUR,2,2
551,HOTAGE INDIA,"11,521","11,521"
552,HOUSTAN INNOVATION LLP,4,4
553,HOVEL CYLINDER PVT LTD,114,114
554,H R AGRO INDUSTRIES,52,52
555,HSU DRAGON (IMPORTER: BMR ELECTRIC),4,4
556,HSU DRAGON (IMPORTER: BMR EV INDUSTRIES),4,4
557,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),1,1
558,HSU DRAGON (IMPORTER: HUMAN CENTERED),1,1
559,HUNDA EV PVT LTD,498,498
560,HUNDAL INDUSTRIES,866,866
561,HYKON INDIA LTD,22,22
562,HYUNDAI MOTOR INDIA LTD,"5,61,089","5,61,089"
563,"HYUNDAI MOTORS LTD, SOUTH KOREA",11,11
564,IBOARD INDIA LTD,3,3
565,IDEAL JAWA INDIA PVT LTD,4,4
566,IGOWISE MOBILITY PVT LTD,9,9
567,INDERPREET AGRO INDUSTRIES,32,32
568,INDIA KAWASAKI MOTORS PVT LTD,"3,547","3,547"
569,INDIAN MOTORS,"2,290","2,290"
570,INDIA SAFE ENTERPRISE,216,216
571,INDIA YAMAHA MOTOR PVT LTD,"6,50,253","6,50,253"
572,INDITAL CONSTRUCTION MACHINERY,1,1
573,INDO FARM EQUIPMENT LIMITED,"2,656","2,656"
574,INDUS ELECTROTHERM INDIA LTD,12,12
575,INS AUTOMOBILES PVT LTD,"1,461","1,461"
576,INTERGLOBE ENERGY PVT LTD,"2,573","2,573"
577,INTERNATIONAL CARS & MOTORS LIMITED,29,29
578,INTERNATIONAL TRACTORS LIMITED,"1,15,234","1,15,234"
579,INVVIGORS INDIA,64,64
580,IPL TECH ELECTRIC PVT LTD,124,124
581,IRA EDUTECH PVT LTD,14,14
582,ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,71,71
583,ISHWAR FARMLINE EQUIPMENTS PVT LTD,72,72
584,ISUKII GREENS PVT LTD,5,5
585,ISUZU MOTORS INDIA PVT LTD,"2,053","2,053"
586,IVOOMI INNOVATION PVT LTD,949,949
587,IZANAU ELECTRIC LLP,25,25
588,JADE KOREA SPINE LIFE,38,38
589,JADHAV AGRO INDUSTRIES PVT. LTD.,32,32
590,JAGADAMBA TRAILER,2,2
591,JAGDAMBA TRAILERS PVT LTD,2,2
592,JAGUAR LAND ROVER INDIA LIMITED,"5,346","5,346"
593,JAGUAR LAND ROVER LIMITED UK,1,1
594,JAI BHARATI ENGINEERING WORKS AP105380083,2,2
595,JAI BHAVANI ENGINEERING  WORKS,221,221
596,JAI BHAVANI INDUSTRIES,1,1
597,JAIDKA POWER SYSTEMS PVT LTD,189,189
598,JAI DURGA TRAILERS,1,1
599,JAI HANUMAN MOTORS,6,6
600,JAIN POWER CORP,447,447
601,JAISIK BUSINESS LINKS PVT LTD,474,474
602,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,153,153
603,JAJODIA COMMODITIES PVT LTD,"2,190","2,190"
604,JAL ENTERPRISES,84,84
605,JANGEER MANUFACTURING INDUSTRIES PVT LTD,7,7
606,JANTA SUPER TRAILOR,2,2
607,JASHANPREET AGRO INDUSTRIES,4,4
608,JAY AGRO INDUSTRIES,99,99
609,JAYATI TOOLS,13,13
610,JAY BHAVANI TRAILOR,13,13
611,JAY JANARDAN TRAILOR,9,9
612,JAY JANARDHAN A.T EQUIPMENTS,1,1
613,JAYNA AUTOMOBILES LLP,29,29
614,JAYNATH ENGINEERING,6,6
615,JBM AUTO LIMITED,364,364
616,JBM ELECTRIC VEHICLES PVT LTD,15,15
617,J.C. BAMFORD EXCAVATORS LIMITED,1,1
618,JCB INDIA LIMITED,"39,768","39,768"
619,JCBL LIMITED,1,1
620,JEET AGRO INDUSTRIES,6,6
621,JEEVAA E-BIKE MFG PVT LTD,5,5
622,JESSOP & COMPANY LTD,1,1
623,JESSUN TECHNO PVT LTD,256,256
624,J.H.A TRADING COMPANY,35,35
625,JIANGSU AIMA (IMPORTER: FUTURE EV),47,47
626,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),14,14
627,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),2,2
628,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),12,12
629,JIANGSU DALONG (IMPORTER: SABOO TOR),32,32
630,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),3,3
631,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),1,1
632,JIANGSU DALONG JIANHAO (IMPORTER: MK FLYING),1,1
633,JIANGSU GUOWEI (IMPORTER:DELTA AUTOCORP LLP),1,1
634,JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),1,1
635,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),17,17
636,JIANGSU JINPENG (IMPORTER: KKL HITECH EV),20,20
637,JIANGSU JINPENG (IMPORTER:RAFT MOTORS P. LTD),36,36
638,JIANGSU SUNHOU (IMPORTER: SABOO TOR),6,6
639,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),4,4
640,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),2,2
641,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),103,103
642,JIANGSU ZHONGXING (IMPORTER: CAL-ON INDUSTRIES),1,1
643,JIANGSU ZHONGXING (IMPORTER:SKANDAA AUTOMOTIVE),3,3
644,JINDAL ELECTRIC VEHICLES,17,17
645,JITENDRA NEW EV-TECH PVT. LTD,562,562
646,JITENDRA TEMPO PARTS,617,617
647,JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD,15,15
648,J K AGRO INDUSTRIES,41,41
649,J K AMO-PAPERS & CO,1,1
650,JMSSP AGRO INDUSTRIES PVT LTD,92,92
651,JMT VEHICLES PVT LTD,"2,673","2,673"
652,JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV),4,4
653,JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),"67,976","67,976"
654,JOYRAM STEEL FABRICATION WORKS,7,7
655,J P AUTO TECH,117,117
656,J S AGRO INDUSTRIES,64,64
657,J. S. AGRO INDUSTRIES,10,10
658,J. S. AUTO (P) LTD,"11,758","11,758"
659,JS MOBILEON PVT LTD,"1,223","1,223"
660,JSW MG MOTOR INDIA PVT LTD,"57,870","57,870"
661,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),42,42
662,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),109,109
663,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),110,110
664,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),26,26
665,KABIRA MOBILITY LLP,26,26
666,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,321,321
667,KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,5,5
668,KAILASH WELDING WORK AP1913663560,1,1
669,KAINING (HONGKONG) (IMPORTER: BEST EV MOBILITY),4,4
670,KAINING (HONGKONG) (IMPORTER: BMR EV INDUSTRIES),8,8
671,KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),208,208
672,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),16,16
673,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),14,14
674,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),14,14
675,KAINING (HONGKONG) (IMPORTER:RAILIES MOTO),7,7
676,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),7,7
677,KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),9,9
678,KAISER WILLYS JEEP,3,3
679,KAIZER ELECTRIC VEHICLES,10,10
680,KAKKAR ELECTRIC AUTO PVT LTD,399,399
681,KALINGA VENTURES INDIA PVT LTD,23,23
682,KALMER INDUSTRIES,2,2
683,KALPVRIKSH ELECTOMOBILES CO,214,214
684,KAMAL COACH WORKS PVT LTD,2,2
685,KAMAZ INDUSTRIES,123,123
686,KANHA ELECTRIC VEHICLES,202,202
687,KAPTECH INDIA PVT LTD,"2,027","2,027"
688,KAPURA PANCHAL ENGINEERING WORKS,2,2
689,KARCHER CLEANING SYSTEMS PVT LTD,2,2
690,KARMA MECHANICAL WORKS,14,14
691,KARTAR AGRO INDUSTRIES PVT LTD,"2,164","2,164"
692,KARTAR TRACTORS PRIVATE LIMITED,375,375
693,KATYAYANI AUTOMOTIVE,10,10
694,KAVA IRON WORKS,7,7
695,KCAS ELECTRIC VEHICLES PVT LTD,229,229
696,K D AGRO INDUSTRIES,47,47
697,KERALA AUTOMOBILES LIMITED,86,86
698,KESAR ROAD EQUIPMENTS(I) PVT LTD,1,1
699,KETO MOTORS PVT LTD,468,468
700,KETRON ELECTRIC VEHICLES PVT LTD,45,45
701,KGN,278,278
702,KGN INDUSTRIES,951,951
703,KHACHEDU RAM & SONS (INDIA) PVT LTD,4,4
704,KHAGESWAR AUTO BUILDS WORKS GANJAM HALADIAPADAR,2,2
705,"KHAGESWAR AUTO BUILD WORKS,HALADIAPADAR,BERHAMPUR,GANJAM",4,4
706,KHALSAE-VEHICLES PVT LTD,"9,151","9,151"
707,KHAN ENGINEERING WORKS,23,23
708,KHUSHI AGRO ENGINEERING BALASORE JANUGANJ,4,4
709,KIA INDIA PRIVATE LIMITED,"2,42,884","2,42,884"
710,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,"10,571","10,571"
711,KION INDIA PVT LTD,"1,061","1,061"
712,KIRAN AGRO EQUIPMENTS,1,1
713,KIRAN AUTOMOBILE INDUSTRY,242,242
714,KIRTI SOLAR LTD,4,4
715,KISAN ENGINEERING,1,1
716,KISAN ENGINEERING WORKS,52,52
717,KISAN ENGINEERING WORKS AP29391457,1,1
718,KISSAN AGRO INDUSTRIES,13,13
719,KISSNA ENGG WORKS,2,2
720,KLB KOMAKI PVT LTD,"4,347","4,347"
721,KOMATSU INDIA PRIVATE LIMITED,5,5
722,KOMATSU LTD JAPAN,22,22
723,KPT INDUSTRIES LTD,19,19
724,KPT MOTORS,132,132
725,KRANTI AUTOMOBILES LTD,1,1
726,KRAZ USSR RUSSIA,1,1
727,KR E-VEHICLE PVT LTD,4,4
728,KRISHNA AGRO ENGI,2,2
729,KRISHNA ENGINEERING WORKS,"1,300","1,300"
730,KRISHNA INDUSTRIES,4,4
731,KRISHNA VEHICALS,111,111
732,KRUP P,1,1
733,KRUSHI KISAN TRAILORS,6,6
734,KRUSHNA AGRO ENGINEERING WORKS,2,2
735,K.S. AGRICULTURAL INDUSTRIES PVT. LTD,212,212
736,K.S. AGROTECH  PVT LTD,170,170
737,K. S. INDUSTRIES,12,12
738,KSR SOLUTION (IMPORTER: KAWVELOCE MOTORS PVT LTD),14,14
739,K T ENTERPRISES,172,172
740,KTM MOTORRAD AG,11,11
741,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,"15,043","15,043"
742,KUKU AUTOMOTIVES,191,191
743,KULAR AGRO WORKS,34,34
744,KUMARAN ENGINEERING ENTERPRISES,378,378
745,KUMAR ENGINEERING,460,460
746,KUSHAL AGRO IND,17,17
747,K. V. INDUSTRIES,29,29
748,KYTE ENERGY PVT. LTD.,363,363
749,LAKSHMI ENGINEERING WORKS,1,1
750,LAKSHYA AUTO SALES CORPORATION,268,268
751,LAKSHYA MOTORS,49,49
752,LALA G E RICKSHAW AND SPARE PARTS,180,180
753,LAL AGRO INDUSTRIES,4,4
754,LAL CHAND AGRICULTURE WORKS,6,6
755,LAMBORGHINI,1,1
756,LAWAT MOTORS LLP,286,286
757,LAXMI ENGINEERING WORKS,1,1
758,LAXMI ENGINEERING WORKSHOP,2,2
759,"LAXMI GOBINDA AGRO IND,BLS",9,9
760,LAXMI GOVINDA AGRO INDUSTRIES BALASORE BALIA,8,8
761,L B AGRO PRODUCTS,21,21
762,LECTRIX E VEHICLES PVT LTD,"9,834","9,834"
763,LEOPAN MOTORS PRIVATE LIMITED,23,23
764,LEXUS MOTORS LTD,4,4
765,LIEBHERR,3,3
766,LIEBHERR INDIA PVT LTD,15,15
767,LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),3,3
768,LIMA VEHICLE (IMPORTER: SARAOGI E-VENTURES),11,11
769,LIMO AUTO CARE PVT LTD,39,39
770,LIONIZE AUTOMOBILE PVT LTD,511,511
771,LIUGONG INDIA PVT. LTD,"1,000","1,000"
772,LOCAL TRAILER MANUFACTURER,"40,589","40,589"
773,LOHAKA INDUSTRIES PVT LTD,47,47
774,LOHIA AUTO INDUSTRIES,"1,263","1,263"
775,LORDS AUTOMATIVE PVT LTD,7,7
776,LORDS VEHICLE MFG PVT LTD,35,35
777,LOTAY AGRO TECH,19,19
778,LOTEY AGRICULTURE WORKS,18,18
779,LOTEY INDUSTRY,14,14
780,L & T CASE EQUIPMENT PVT LTD,3,3
781,L&T CONSTRUCTION EQUIPMENT LIMITED,329,329
782,LUCKY INDUSTRIES,164,164
783,LUXUS GREEN MOBILITY PVT LTD,12,12
784,M2J E VAHAN PVT LTD,21,21
785,MAAA MANASA TRAILOR WORKS,3,3
786,MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,7,7
787,MAA ENGINEERING CUTTACK KHAPURIA,1,1
788,MAA ENGINEERING TRAILOR,18,18
789,MAA KALPANA ENTERPRISE,366,366
790,"MAA MANGALA ENTERPRISES,SNG",3,3
791,MAA MANGALA INDUSTRIES KEONJHAR DHANGARPADA,24,24
792,"MAA MANGALA MOTORS & ENGG,RKL",2,2
793,MAA MANGLA MOTORS ROURKELA GOPAPALI,1,1
794,MAA SHAKTI EXIM PVT LTD,"2,278","2,278"
795,MAA TARINI ENGINEERING,8,8
796,MAA TARINI ENGINEERING CUTTACK KANDARPUR,9,9
797,MAC AUTO INDIA,667,667
798,MAC INTERNATIONAL (IMPORTER:HONESTY),1,1
799,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),57,57
800,MAC INTERNATIONAL (IMPORTER: SUNDAK SOLAR),1,1
801,MACNEILL ENGINEERING LIMITED,1,1
802,MACONS EQUIPMENTS PVT LTD,1,1
803,MADHU AUTOMOBILES LTD,8,8
804,MAGNIOUS E MOBILITY PVT LTD,1,1
805,MAHABIR INDUSTRIES,2,2
806,MAHABIR MOTORS SONEPUR BINKA,3,3
807,MAHADEV ENGG WORKS,2,2
808,MAHAK TEEN UDYOG,244,244
809,MAHALAXMI INDUSTRIES,3,3
810,MAHAVIR AGRO EQUIPMENTS,2,2
811,MAHAVIR TRACTOR AND IMPLEMENTS,604,604
812,MAHENDRA INDUSTRIES,1,1
813,MAHESH ENGINEERING WORKS,2,2
814,MAHINDRA DEFENCE SYSTEMS LTD,33,33
815,MAHINDRA ELECTRIC AUTOMOBILE LTD,"1,903","1,903"
816,MAHINDRA ELECTRIC MOBILITY LIMITED,49,49
817,MAHINDRA GUJARAT TRACTOR LIMITED,1,1
818,MAHINDRA LAST MILE MOBILITY LTD,"95,926","95,926"
819,MAHINDRA & MAHINDRA LIMITED,"7,54,699","7,54,699"
820,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),"1,65,596","1,65,596"
821,MAHINDRA & MAHINDRA LIMITED (TRACTOR),"2,08,169","2,08,169"
822,MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,295,295
823,MAHINDRA TWO WHEELERS LTD,1,1
824,MAHTAB BODY MAKER,949,949
825,MALAK TECHNO PVT LTD,47,47
826,MALI ENTERPRISES PVT LTD,49,49
827,MALKIT AGRO TECH PVT. LTD,862,862
828,MANDEEP ENGINEERING WORKS,2,2
829,MANIRAM ELECTRIC VEHICLE PVT LTD,"1,182","1,182"
830,MANISH EV INTERNATIONAL PRIVATE LIMITED,165,165
831,MANITA CITY MOTORS LLP,"2,426","2,426"
832,MANITOU EQUIPMENT INDIA PVT LTD,543,543
833,MANKU AGRO TECH PVT LTD,"1,950","1,950"
834,MANKU AGRO TECH. PVT. LTD.,1,1
835,MANMOHAN KAUR,46,46
836,MANOJ ENGINEERING WORKS,5,5
837,MANPREET AGRO INDUSTRIES,5,5
838,MAN TRUCKS INDIA PVT. LTD.,3,3
839,MARATHWADA QUALITY TRAILER,19,19
840,MARCEL BOSCHUNG (IMPORTER:KAM-AVIDA ENVIRO),5,5
841,MARKUS,48,48
842,MARSHAL TRACTOR & FARM EQUIPMENTS,1,1
843,MARTHWADA TRALIOR,2,2
844,MARUTHISAN PVT LTD,110,110
845,MARUTI BHIWANI E AUTOMOBILES,60,60
846,MARUTI INDUSTRIES,7,7
847,MARUTI SUZUKI INDIA LTD,"17,19,202","17,19,202"
848,MARUTI UDYOG LTD,183,183
849,MASERATI S.P.A,24,24
850,MASTO INDUSTRIES PVT LTD,24,24
851,MATHARU ENGINEERING AGRI WORKS,31,31
852,MATHARU ENGINEERING WORKS,40,40
853,MATTER MOTOR WORKS PVT LTD,68,68
854,MAURYA MOTORS PVT LTD,1,1
855,MAYUR ENGINEERING MAYURBHANJ BARIPADA,15,15
856,"MAYUR ENTERPRISES,BARIPADA",26,26
857,MB AGRO INDUSTRIES,4,4
858,MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),18,18
859,MD RASUL ENGG WORKS,3,3
860,MECPOWER MOBILITY PVT. LTD.,196,196
861,MERCEDES BENZ,5,5
862,MERCEDES -BENZ AG,"1,524","1,524"
863,MERCEDES-BENZ INDIA PVT LTD,"16,200","16,200"
864,MERCURY EV TECH LTD,17,17
865,METAL PRESSING & ENGG WORKS,4,4
866,METTA EV PVT LTD,1,1
867,MEW ELECTRICALS LIMITED,2,2
868,M G INDUSTRIES,39,39
869,M H AGRICULTURE WORKS,24,24
870,MIC INDUSTRIES INC,1,1
871,MICROAUTOTECH PVT. LTD.,14,14
872,MILLENNIAL MOTORS LLP,5,5
873,MINI METRO EV L.L.P,"14,295","14,295"
874,MIRAKLE 5 AUTOMOBILES PVT LTD,9,9
875,M K BROTHERS,94,94
876,M.K. ENTERPRISES,"1,244","1,244"
877,MK POWER AND E MOBILITY,5,5
878,MLR AUTO LTD,"6,222","6,222"
879,MODERN  AGRO  INDUSTRIES,1,1
880,MODERN INDUSTRIES,1,1
881,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),8,8
882,MOHAN ENGINEERING WORKS SAMBALPUR SINDURPANK,8,8
883,MOHAN GENERAL TRADING COMPANY,41,41
884,MOMU AUTOMOTIVE,505,505
885,MONA GREEN AUTOMOBILES PVT LTD,47,47
886,MONDAL ENGINEERING WORKSHOP,2,2
887,MONDAL TRADING,208,208
888,MOON AGRICULTURE & FABRICATION WORKS,1,1
889,MORGAN MOTOR COMPANY (IMPORTER: REGALIA LUXURY),107,107
890,MORRIS MOTORS LTD,1,1
891,MOTOVOLT MOBILITY PVT LTD,396,396
892,MOVE STONE SERVICES PVT LTD,"4,152","4,152"
893,M S AGRO INDUSTRIES,8,8
894,"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",42,42
895,"M/S AKRITI,BAMRA",1,1
896,M/S AMARNATH ENGINEERING WORKS,1,1
897,MS ANUP ENTERPRISES TRAILER SNG,4,4
898,M/S ASHOKA INDUSTRIES,3,3
899,M/S BALAJI AUTO ENG WORKS,11,11
900,M/S BHANSALI AGRO TECH,4,4
901,M/S BHANSALI TRAILERS P LTD,5,5
902,M/S BHARAT TRAILER AND AGRO WORKS,4,4
903,M/S BHARAT TRAILERS,140,140
904,M/S DAS ENGINEERING WORKSHOP,9,9
905,"M/S FARMAX EQUIPMENTS, SAMBALPUR",1,1
906,M/S GENERAL MOTORS LLC,1,1
907,M/S HARITKRANTI AGRO UDYOG,11,11
908,M/S HARSHA AGRO ENGINEERING WORKS,2,2
909,M/S HOTA AGRO (TRAILER),2,2
910,M/S JAVED STEEL INDUSTRIES,7,7
911,M/S J.K. ENGINEERS,1,1
912,M/S KANTAK SYSTEMS,1,1
913,M/S KASTKAR AGRO INDUSTRIES,175,175
914,M/S K.G.N ENGINEERING TRAILER WORKS AP312711345,1,1
915,M/S KISHAN TRACTOR,2,2
916,M/S K K AGRO INDUSTRIES,23,23
917,M/S KRISHNA ENGINEERING WORKS,1,1
918,M/S LOHIYA AGRO INDUSTRIES,13,13
919,MS MAA MANGALA ENTERPRISES TRAILER SNG,2,2
920,M/S MAA MANGALA INDUSTRIES,70,70
921,M/S MAA MOTORS WORKS,96,96
922,M/S MAA MOTORS WORKSHOP,85,85
923,M/S MAN,1,1
924,M/S NANDI ENGINEERING WORKS,3,3
925,M/S NEW SHETKARI ENGINEERING WORK,67,67
926,M/S NEW SHIV SHAKTI TRAILORS,25,25
927,M/S. PALLAVI INDUSTRIES,5,5
928,MS PATEL INDUSTRIES JHARSUGUDA PURUNABASTI,9,9
929,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",6,6
930,"M/S PERFECT TECHNOCRAFTS & ENGINEERING,KENDRAPARA",1,1
931,M/S RAM AGRO MACHINARY,36,36
932,MS SAHU INDUSTRIES TRAILER KORAPUT JEYPORE,36,36
933,MS SAI AGRO INDUSTRIES KORAPUT JEYPORE,1,1
934,M/S SAI AUTO ENGINEERING WORKS,1,1
935,M/S SARANGI MOTROS,62,62
936,M/S SARMA ENGINEERING WORKS,4,4
937,M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,"1,103","1,103"
938,M/S-SHRADHA INDUSTRIES,3,3
939,M/S SHRI DATTA WELDING WORKS,1,1
940,M/S SHRIRAM AUTO TECH PVT LTD,"2,920","2,920"
941,M/S SRI LAKSHMI VENKATESWARA ENGG WORKS AP29070732,1,1
942,M/S SRI MARUTHI WELDING WORKS KADAPA AP49943745,1,1
943,MS SRI SAI AGRICULTURAL EQUIPMENTS KORAPUT JEYPORE,87,87
944,M/S SRI VENKATA SAI DURGA ENGG WORKS AP203583296,3,3
945,M/S SRI VENKATA SIVA SAI AGRO IND AP178393275,1,1
946,M/S SRI VENKATESWARA ENGINEERING WORKS AP67321364,2,2
947,M/S S.S. AGRO INDUSTRIES,2,2
948,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",11,11
949,M/S SUPERIOR MANUFACTURING COMPANY,42,42
950,"M/S. VENKAT ENGINEERING WORKS, JAIPATNA",1,1
951,M/S VISHNU CLEAN ENERGY VEHICLES LLP,97,97
952,MUNDE MECHANICAL WORKS,106,106
953,MVM MOTORS PRIVATE LIMITED,13,13
954,MYTRAH MOBILITY PVT LTD,6,6
955,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,"3,881","3,881"
956,NABINA WELDING,1,1
957,NABINA WELDING BHANJANAGAR BYPASS ROAD,2,2
958,"NAIK TROLLEY AND IMPL,SNG",479,479
959,"NAIK TROLLEY&IMPLS,BHEDABAHAL",4,4
960,NAMAH INDUSTRIES PVT LTD,479,479
961,NANJING VMOTO (IMPORTER: FORTUNEV),1,1
962,NARAINDASS AND SONS,19,19
963,NARINDERA AGRO WORKS,22,22
964,NATH AGRO IMPLEMENTS PVT LTD,3,3
965,NATIONAL ENGG WORKS,1,1
966,NATIONAL OILWELL VARCO,2,2
967,NATIONAL STEEL AND W PRODUCTS SAMBALPUR BAREIPALI,1,1
968,NAVDURGA TRAILERS,1,1
969,NAZAR SINGH & SONS,38,38
970,NDS ECO MOTORS PVT LTD,14,14
971,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,750,750
972,NEELAM CYCLE,17,17
973,NEERAJ MOTORS PVT LTD,31,31
974,NEUON MOTORS LLP,97,97
975,NEW ARCANA INDIA,"1,023","1,023"
976,NEW BHARAT AGRICULTURAL WORKS,12,12
977,NEW CHAWLA INDUSTRIES,254,254
978,NEW DEVE AGRO WORKS,28,28
979,NEW FRIENDS INDUSTRIES,1,1
980,NEW GAHIR AGRO INDUSTRIES,71,71
981,NEW GOBIND AGRO INDUSTRIES,37,37
982,NEW GOLDEN AGRICULTURE,13,13
983,NEW GURDIAL AGRO INDUSTRIES PVT LTD,300,300
984,NEW HIND AGRO PVT LTD,2,2
985,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,2,2
986,NEW HOLLAND FIAT INDIA PVT. LTD.,7,7
987,NEW KISAN ENGINEERING WORKS,4,4
988,NEW MALLIKARJUNA ENG WORKS,447,447
989,NEW MARTHWADA QUALITY TRAILOR,13,13
990,NEW SHIVAM AGRICULTURE WORKS,3,3
991,NEW SUPER QUALITY TRAILOR,64,64
992,NEW VINAYAKA ENGINEERING  RAYAGADA,58,58
993,NEW VISHNU MOTOR BODY BUILDERS,5,5
994,NGAGE WHEEL PVT LTD,45,45
995,NHD MOTORS,350,350
996,NIKHIL AGRO ENTERPRISE,1,1
997,NILKANTH TRAILER,1,1
998,NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),129,129
999,NINGBO SANJIANG (IMPORTER: VABRO EVTECH),39,39
1000,NIPUN SANYANTRA PVT LTD,165,165
1001,NIRMAL UTILITY SERVICES PVT LTD,9,9
1002,NISIKI TECHNOLOGIES PVT LTD,13,13
1003,NISSAN MOTOR INDIA PVT LTD,"24,961","24,961"
1004,N K INDUSTRIES,196,196
1005,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,"3,993","3,993"
1006,N.S. AGRO WORKS,18,18
1007,NUMEROS MOTORS PVT LTD,256,256
1008,OBEN ELECTRIC VEHICLES PVT LTD,"1,248","1,248"
1009,OCULUS AUTO INDUSTRIES LLP,13,13
1010,ODYSSE ELECTRIC VEHICLES PVT LTD,"2,162","2,162"
1011,OGATA MOTORS INDIA PVT LTD,31,31
1012,OKAYA EV PVT LTD,"4,219","4,219"
1013,OKAYA POWER PVT LTD,43,43
1014,OKINAWA AUTOTECH PVT LTD,"3,548","3,548"
1015,OK PLAY INDIA LTD,132,132
1016,OLA ELECTRIC TECHNOLOGIES PVT LTD,"3,44,241","3,44,241"
1017,OLECTRA GREENTECH LTD,743,743
1018,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,"1,963","1,963"
1019,OMEGA CONSTRUCTION EQUIPMENT PVT LTD,8,8
1020,OMEGA SALES & AGRO INDUSTRIES,207,207
